13/3/2018 11:59:35 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:35 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:35 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:36 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:36 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:36 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:37 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:37 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:37 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:37 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:38 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:38 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:38 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:38 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:39 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:39 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:39 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:40 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:40 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:40 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:40 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:41 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:41 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:42 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:42 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:42 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:43 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:43 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:43 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:43 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:44 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:44 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:44 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:45 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:45 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:45 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:45 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:46 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:46 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:46 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:46 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:47 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:47 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:47 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:48 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:48 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:48 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:48 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:49 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:49 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:50 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:50 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:50 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:51 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:51 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:51 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:52 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:52 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:52 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:52 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:53 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:53 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:53 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:54 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:55 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:55 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:55 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:55 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:56 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:56 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:56 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:57 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:57 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:57 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:58 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:58 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:58 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:59 a. m.;0,9244131;0,6562774;PR2
13/3/2018 12:00:00 p. m.;0,9244131;0,6562774;PR2
13/3/2018 12:00:00 p. m.;0,9244131;0,6562774;PR3
